symbol,meaning,meaning_source,confidence,occurrence_count,id_count,sample_ids,sample_titles,sample_context,wolfram_symbol
kappa_j,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0496,Experimental Stability Envelope,"Experimental Stability Envelope \begin{adjustbox}{max width=\linewidth,center} $\displaystyle V_{ij}=\frac{\kappa_i\kappa_j}{4\pi}\log\left(\frac{|r_i-r_j|}{\xi}\right) $ \end{adjustbox}",kappa_j
kinR^3,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9692,"DAANSsphere as a Uniform Base Manifold: A:(i,k)mapsto p_i,kinR^3","DAANSsphere as a Uniform Base Manifold: A:(i,k)mapsto p_i,kinR^3 \mathcal{A}:(i,k)\mapsto \mathbf{p}_{i,k}\in\mathbb{R}^3,",kinR^3
kr_1,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0230,Bessel Interference Pattern of Emergent Matter,"Bessel Interference Pattern of Emergent Matter \Psi(r,t)=\Psi_0+\varepsilon\,j_0(k r)\cos(\omega t) || k r_1 \approx 2.405",kr_1
kuramoto_meanfield,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5642,Phase Field Evolution Equation,"Phase Field Evolution Equation \begin{equation} \dot{\phi}_i = \Omega_i + K R(t)\,\sin\!\big(\Psi(t)-\phi_i\big). \label{eq:kuramoto_meanfield} \end{equation}",kuramoto_meanfield
kuramoto_orbits,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID3781,Phase Field,"Phase Field \begin{equation} \dot{\phi}_i = \Omega_i + \sum_{\substack{j=1\\ j\neq i}}^{N} K_{ij}\,\sin\!\big(\phi_j-\phi_i\big), \qquad i=1,\dots,N. \label{eq:kuramoto_orbits} \end{equation}",kuramoto_orbits
kuramoto_order,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID3782,Quantum State Expansion,"Quantum State Expansion \begin{equation} R(t)\,e^{i\Psi(t)} = \frac{1}{N}\sum_{j=1}^{N} e^{i\phi_j(t)}, \qquad R(t)=\left|\frac{1}{N}\sum_{j=1}^{N} e^{i\phi_j(t)}\right|\in[0,1], \label{eq:kuramoto_order} \end{equation}",kuramoto_order
kuramoto_order_parameter,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5641,Quantum State Expansion,"Quantum State Expansion \begin{equation} R(t)e^{i\Psi(t)} = \frac{1}{N}\sum_{j=1}^{N} e^{i\phi_j(t)}, \qquad R(t)=\left|\frac{1}{N}\sum_{j=1}^{N} e^{i\phi_j(t)}\right|\in[0,1]. \label{eq:kuramoto_order_parameter} \end{equation}",kuramoto_order_parameter
kuramoto_planetary,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID3788,Phase Field,"Phase Field \begin{equation} \dot{\phi}_i = \Omega_i + \sum_{j=1}^{N} K_{ij}\,\sin\!\big(\phi_j - \phi_i\big), \qquad i=1,\dots,N, \label{eq:kuramoto_planetary} \end{equation}",kuramoto_planetary
kuramoto_planets,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5562,Phase Field,"Phase Field \begin{equation} \dot{\phi}_i = \Omega_i + \sum_{\substack{j=1\\ j\neq i}}^{N} K_{ij}\,\sin\!\big(\phi_j - \phi_i\big), \qquad i=1,\dots,N. \label{eq:kuramoto_planets} \end{equation}",kuramoto_planets
kuramoto_planets_basic,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5636,Phase Field,"Phase Field \begin{equation} \dot{\phi}_i = \Omega_i + \sum_{\substack{j=1\\ j\neq i}}^{N} K_{ij}\,\sin\!\big(\phi_j-\phi_i\big), \qquad i=1,\dots,N. \label{eq:kuramoto_planets_basic} \end{equation}",kuramoto_planets_basic
kuramoto_pq,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5645,Phase Field,"Phase Field \begin{equation} \dot{\phi}_i = \Omega_i + \sum_{j\neq i}\sum_{(p,q)\in\mathcal{R}} K_{ij}^{(p:q)}\, \sin\!\big(p\,\phi_j - q\,\phi_i\big), \label{eq:kuramoto_pq} \end{equation}",kuramoto_pq
l_b,curvature/geometric quantity depending on context,context_rule,low,1,1,ID5632,Curvature Relation,"Curvature Relation \begin{equation} j_\ell(k_{\ell n} R) = 0, \label{eq:bessel_boundary} \end{equation}",l_b
l_max,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9606,Relation: (l_max + 1)^2,Relation: (l_max + 1)^2 (l_{\max} + 1)^2,l_max
label_names,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5328,Label Names Build Command So Build Lines Relation,"Label Names Build Command So Build Lines Relation $label_names"" # build command so build lines don't pollute `output` below lake build check_title_labels set +e # Capture output and exit code output=$",label_names
lambda_j,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0961,Tzp Quantum Error Correction Code,"Tzp Quantum Error Correction Code C_{\mathrm{TZP}}=[[n,k,d]] || widehat{H}_{\mathrm{TZP}}=\sum_j \lambda_j S_j",lambda_j
lambda_p,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5651,Phase Angle Relation,"Phase Angle Relation \begin{equation} \theta_{pq} = p\lambda_i - q\lambda_p - (p-q)\varpi_i, \end{equation}",lambda_p
lambda_t,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID4285,Clock Potential Relation,"Clock Potential Relation $V(x,t_{\text{clock}})=\tfrac12 e_\phi^2 + \lambda_n e_n + \tfrac12\lambda_\psi e_\psi^2 + \tfrac12\lambda_t e_t^2$",lambda_t
lattice15151515,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0455,Extraction Phase Timing,"Extraction Phase Timing \begin{adjustbox}{max width=\linewidth,center} $\displaystyle \mathcal{L}_{U} = \cdots $ \end{adjustbox}",lattice15151515
lean4,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5303,Stepsapp Tokenoutputstoken Name Get Latest Release Tag Relation,Stepsapp Tokenoutputstoken Name Get Latest Release Tag Relation ${{ steps.app-token.outputs.token }} - name: Get latest release tag from leanprover/lean4-nightly id: get-latest-release run: | RELEASE_TAG=$,lean4
lemmaid0507_morse_floer_stability_analysis,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9453,Definition of Φ(𝜌),Definition of Φ(𝜌) Φ(𝜌)=𝜌 Aadm(Φ)=·,lemmaid0507_morse_floer_stability_analysis
lemmaid0511_von_neumann_lindblad_dynamics,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9454,Definition of 1.Φ(𝑖𝑑A),Definition of 1.Φ(𝑖𝑑A) 1.Φ(𝑖𝑑A )=𝑖𝑑Φ,lemmaid0511_von_neumann_lindblad_dynamics
lemmaid0519_lense_thirring_relativistic_audit,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9455,Definition of Πaudit,Definition of Πaudit Πaudit= Ωobs ΩLT,lemmaid0519_lense_thirring_relativistic_audit
lemmaid0538_self_perpetuating_vortex_dynamo,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9457,Definition of 𝜔vort,Definition of 𝜔vort 𝜔vort=∇×𝑣 𝜕t𝐵=∇×(𝑣×𝐵)+𝜂∇2𝐵,lemmaid0538_self_perpetuating_vortex_dynamo
lemmaid0578_delta_function_signal_injection,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9460,Definition of Δ,Definition of Δ Δ=𝑑delta+delta𝑑,lemmaid0578_delta_function_signal_injection
lemmaid0619_squid_flux_tomography,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9461,Definition of Φ,Definition of Φ Φ=𝑛Φ0 =⇒,lemmaid0619_squid_flux_tomography
lemmaid0636_meditation_convergence_fixed_points,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9462,Definition of lim𝑡→∞∇Φ𝑢𝑠𝑒𝑟,Definition of lim𝑡→∞∇Φ𝑢𝑠𝑒𝑟 lim𝑡→∞∇Φ𝑢𝑠𝑒𝑟=·,lemmaid0636_meditation_convergence_fixed_points
lemmaid0654_topological_error_correction_codes,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9463,Definition of le𝑃𝑡ℎ𝑟𝑒𝑠ℎ𝑜𝑙𝑑⊗𝜋1,Definition of le𝑃𝑡ℎ𝑟𝑒𝑠ℎ𝑜𝑙𝑑⊗𝜋1 le𝑃𝑡ℎ𝑟𝑒𝑠ℎ𝑜𝑙𝑑⊗𝜋1=Z,lemmaid0654_topological_error_correction_codes
lemmaid0730_integrated_information_scaling,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9393,Definition of 𝑌∝··· Π̂TZP,Definition of 𝑌∝··· Π̂TZP 𝑌∝··· Π̂TZP=·,lemmaid0730_integrated_information_scaling
lemmaid0734_resonance_peak_frequency_sweep,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9394,Definition of Φn |𝜕Ω,Definition of Φn |𝜕Ω Φn |𝜕Ω=0,lemmaid0734_resonance_peak_frequency_sweep
lemmaid0736_unified_field_identity_tut,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9395,Relation: =Ωdownarrow⊗𝐴uparrow,Relation: =Ωdownarrow⊗𝐴uparrow =Ωdownarrow⊗𝐴uparrow,lemmaid0736_unified_field_identity_tut
lemmaid0738_bipartition_information_integration,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9396,Definition of Φ𝑇𝑍𝑃,Definition of Φ𝑇𝑍𝑃 Φ𝑇𝑍𝑃=min,lemmaid0738_bipartition_information_integration
lemmaid0771_thelemniscatic_zero_point_set,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9397,Relation: =𝑥∈R𝑛 |Φ(𝑥,Relation: =𝑥∈R𝑛 |Φ(𝑥 =𝑥∈R𝑛 |Φ(𝑥,lemmaid0771_thelemniscatic_zero_point_set
lemmaid0776_elsasser_criticality_attractor,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9398,Definition of Λ≈··· ΠΛ,Definition of Λ≈··· ΠΛ Λ≈··· ΠΛ=·,lemmaid0776_elsasser_criticality_attractor
lemmaid0873_vibration_coordinate_tensor,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9468,Definition of 𝜔𝑘 𝑆ij,Definition of 𝜔𝑘 𝑆ij 𝜔𝑘 𝑆ij = · · · |𝑎 | > 𝑎max,lemmaid0873_vibration_coordinate_tensor
lemmaid0911_tesseract_folding_operator,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9390,Definition of Y OTZP,Definition of Y OTZP Y OTZP = · · · OTZP(𝑥),lemmaid0911_tesseract_folding_operator
lemmaid0965_decoding_lookup_time_complexity,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9392,Definition of · · ·,Definition of · · · · · · = 𝑂 [153600 × 𝐿𝑜𝑔[153600𝐹𝐹𝑇 − 𝑜𝑝𝑡𝑖𝑚𝑖𝑧𝑒𝑑 𝐷 = − log 6 log(27/32),lemmaid0965_decoding_lookup_time_complexity
lemmaid1086_information_density_tracking,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9466,Definition of · · · Esupport,Definition of · · · Esupport · · · Esupport = · · · 𝐶𝑢𝑟𝑟𝑒𝑛𝑡𝑑𝑒𝑛𝑠𝑖𝑡𝑦𝐽 : R3 × R,lemmaid1086_information_density_tracking
lim_n,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9552,Golden-Ratio Fibonacci Manifold: lim_n → ∞ fracF_n+1F_n,Golden-Ratio Fibonacci Manifold: lim_n → ∞ fracF_n+1F_n \lim_{n \to \infty} \frac{F_{n+1}}{F_n} = \varphi = \frac{1 + \sqrt{5}}{2}.,lim_n
lim_r,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9736,Asymptotic Requirements (Non-Negotiable): lim_r→∞ T_μν^TZP(r) &,"Asymptotic Requirements (Non-Negotiable): lim_r→∞ T_μν^TZP(r) & \lim_{r\to\infty} T_{\mu\nu}^{\mathrm{TZP}}(r) &= 0, \qquad \lim_{r\to\infty} T_{\mu\nu}^{\mathrm{top}}(r) = 0,\\ \text{and}\quad \sup_{r\ge 0}\|T_{\mu\nu}^{\mathrm{TZP}}(r;\ep",lim_r
lim_x,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5085,Definition of lim_x → 0^+ (1)/(X),Definition of lim_x → 0^+ (1)/(X) \[\n \\lim_{x \\to 0^+} \\frac{1}{x} = +\\infty\n \\],lim_x
ln2,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID10110,"Processes and Bounds: ω_L,ω_R","Processes and Bounds: ω_L,ω_R \omega_L,\omega_R",ln2
locking29292929,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0458,Output Recapture and Phase Return,"Output Recapture and Phase Return \begin{adjustbox}{max width=\linewidth,center} $\displaystyle \mathcal{C}_{\mathrm{mech}}:X\to Y $ \end{adjustbox}",locking29292929
log10,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9479,Definition of Φ,Definition of Φ Φ=𝑛Φ0=𝑛,log10
lurie2009higher,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID4205,Phys Action Definition,Phys Action Definition \begin{equation} \inftytopos{phys} := \varprojlim_{n \to \infty} \left[ \category{Set}_{\Delta^{\mathrm{op}}}^{(n)} \right] \end{equation},lurie2009higher
lvert_p,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5997,Definition of Det(g) lvert_p,Definition of Det(g) lvert_p \[ \det(g)\bigl\vert_{p}=0 \],lvert_p
mA_l,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9426,"Relation: axial(θ,λ)+∑_l,mA_l,mY_lˆm(θ,λ),eˆiomeg↩→","Relation: axial(θ,λ)+∑_l,mA_l,mY_lˆm(θ,λ),eˆiomeg↩→ axial}(\theta,\lambda)+\sum_{l,m}A_{l,m}Y_{l}ˆ{m}(\theta,\lambda),eˆ{i\omeg↩→",mA_l
mY_l,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9426,"Relation: axial(θ,λ)+∑_l,mA_l,mY_lˆm(θ,λ),eˆiomeg↩→","Relation: axial(θ,λ)+∑_l,mA_l,mY_lˆm(θ,λ),eˆiomeg↩→ axial}(\theta,\lambda)+\sum_{l,m}A_{l,m}Y_{l}ˆ{m}(\theta,\lambda),eˆ{i\omeg↩→",mY_l
m^PSF,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID6697,How to Use This to Correlate Your Photos with the Generated Vortex Images: a_ell m^PSF,"How to Use This to Correlate Your Photos with the Generated Vortex Images: a_ell m^PSF a_{\ell m}^{\text{PSF}} = \int_{S^2} \text{PSF}(\theta,\phi)\, Y_\ell^{m*}(\theta,\phi)\, d\Omega.",m^PSF
m^T,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID6704,How to Fold the Aperture/Bessel Kernel into TZP Fractal Mechanics: a_ell m^T,How to Fold the Aperture/Bessel Kernel into TZP Fractal Mechanics: a_ell m^T a_{\ell m}^{\mathcal{T}} = a_{\ell m}^{\text{obs}} / a_{\ell m}^{\text{PSF}},m^T
m^img,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID6754,Cross-Correlation with TZP Model: a_ell m^img,Cross-Correlation with TZP Model: a_ell m^img a_{\ell m}^{\text{img}},m^img
m^obs,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID6703,How to Fold the Aperture/Bessel Kernel into TZP Fractal Mechanics: a_ell m^obs,How to Fold the Aperture/Bessel Kernel into TZP Fractal Mechanics: a_ell m^obs a_{\ell m}^{\text{obs}} = a_{\ell m}^{\text{PSF}}\; a_{\ell m}^{\mathcal{T}}.,m^obs
m_eff^2,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9704,Dimensional Resonance and Acoustic Structure: □ φ + m_eff^2 φ,"Dimensional Resonance and Acoustic Structure: □ φ + m_eff^2 φ \Box \phi + m_{\mathrm{eff}}^{2}\, \phi = 0,",m_eff^2
m_jr_ij^3,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID7924,XVIII.2 Ensemble Kuramoto Extension: K_ij ∝ FracG m_i m_jr_ij^3,XVIII.2 Ensemble Kuramoto Extension: K_ij ∝ FracG m_i m_jr_ij^3 K_{ij} \propto \frac{G m_i m_j}{r_{ij}^3},m_jr_ij^3
m_peak,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID6723,Practical Measurement Algorithm You Can Run on Any Image (No EXIF Needed): m_peak,Practical Measurement Algorithm You Can Run on Any Image (No EXIF Needed): m_peak m_{\text{peak}}=6,m_peak
maintainer_merge_message,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5373,Stepsactorteamsoutputsisteammember Magnetization Relation,Stepsactorteamsoutputsisteammember Magnetization Relation ${{ steps.actorTeams.outputs.isTeamMember == 'true' }} uses: actions/checkout@de0fac2e4500dabe0009e67214ff5f5447ce83dd # v6.0.2 with: ref: master sparse-checkout: | scripts/get_tlabe,maintainer_merge_message
markdown_formula,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID4099,Displacement Field,"Displacement Field $)"",""Ĵ_p = \nabla \otimes \mathbf{v}_{vac} |_{p_{stagnation}} \implies \text{det}(Ĵ_p) \to 0"",""applied_replace_from_oovol00"",""[ID 1433]"",""markdown_formula"",""D:\pdf\opera_omnia_vol_00.tex"" ""[ID 1032]"",""THE METRIC DISTORTIO",markdown_formula
mass_from_radius,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID7753,Physical Constants,Physical Constants \\tau_{sync} \\approx \\frac{\\omega I Q}{3 k_2 G M_P^2 R^5} a^6,mass_from_radius
math_count,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID4668,Gamma Around TZP Trawinistic Winding Relation,"Gamma Around TZP Trawinistic Winding Relation $$"", ""offset_start"": 248, ""offset_end"": 383, ""ordinal"": 5 }, { ""kind"": ""single_dollar"", ""latex_raw"": ""\\pi"", ""latex_normalized"": ""\\pi"", ""plain_text"": """", ""offset_start"": 360, ""offset_end"": 365,",math_count
mathfrakG_D,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID8619,$\mathfrak{G}_{D}:=\nabla$: mathfrakG_D:=∇,$\mathfrak{G}_{D}:=\nabla$: mathfrakG_D:=∇ \mathfrak{G}_{D}:=\nabla,mathfrakG_D
mathlib4,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5380,Stepsactorteamsoutputsisteammember Magnetization Relation,"Stepsactorteamsoutputsisteammember Magnetization Relation ${{ steps.actorTeams.outputs.isTeamMember == 'true' }} id: determine_topic run: | ./scripts/get_tlabel.sh ""/repos/leanprover-community/mathlib4/issues/$",mathlib4
mathscrH_solar,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9528,Categorical Framework for Heliospheric-Gravitational Interaction: mathscrH_solar-Grav,Categorical Framework for Heliospheric-Gravitational Interaction: mathscrH_solar-Grav \mathscr{H}_{\text{solar-grav}},mathscrH_solar
measurements30303030,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0458,Output Recapture and Phase Return,"Output Recapture and Phase Return \begin{adjustbox}{max width=\linewidth,center} $\displaystyle \mathcal{C}_{\mathrm{mech}}:X\to Y $ \end{adjustbox}",measurements30303030
methylation_pattern,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5549,Controlvariables Capacitance Definition,"Controlvariables Capacitance Definition $^153600, ControlVariables := { methylation_pattern[CpG_sites], histone_modifications[H3K4, H3K27, etc], transcription_factors[~1600 types] HiddenSolution $",methylation_pattern
midnabla2phi,"field, phase, or golden-ratio quantity",context_rule,low,1,1,ID0314,Extended Phase Space for Magneto-Acoustic–Kaluza–Klein Systems,Extended Phase Space for Magneto-Acoustic–Kaluza–Klein Systems Phi = n \cdot (h/2e) \approx n \cdot 2.07 \times 10^{-15} \text{ Wb} || Phi = n \cdot (h/2e) \approx n \cdot 2.07 \times 10^{-15} \text{ Wb},midnabla2phi
migrate_existing_table,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID4651,Add DAANSphere Column Existing PostGIS Table Relation,"Add DAANSphere Column Existing PostGIS Table Relation $$ BEGIN -- Add DAANSphere column to existing PostGIS table EXECUTE format('ALTER TABLE %I ADD COLUMN daansphere daansphere_point', table_name); -- Populate it with nearest DAANSphere po",migrate_existing_table
mk_all,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID5325,Always Stepsmk Alloutcome Relation,"Always Stepsmk Alloutcome Relation ${{ always() && steps.mk_all.outcome != 'skipped' }} run: | if [[ ""$",mk_all
mu0,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9428,Relation: fracπθ_res↩→,Relation: fracπθ_res↩→ \frac{\pi}{\theta_{\text{res}}}↩→,mu0
mu0rho,density or density-matrix quantity,context_rule,low,1,1,ID0329,Alfv\'en Wave Resonance in Gyromagnetic Systems,"Alfv\'en Wave Resonance in Gyromagnetic Systems \omega_{n}=k_{n}v_{\mathrm{A}},\qquad v_{\mathrm{A}}=B/\sqrt{\mu_{0}\rho} || k_{n}=n\pi/L,\qquad \Omega_{\mathrm{g}}=qB/m",mu0rho
mu0rhov,density or density-matrix quantity,context_rule,low,1,1,ID0329,Alfv\'en Wave Resonance in Gyromagnetic Systems,"Alfv\'en Wave Resonance in Gyromagnetic Systems \omega_{n}=k_{n}v_{\mathrm{A}},\qquad v_{\mathrm{A}}=B/\sqrt{\mu_{0}\rho} || k_{n}=n\pi/L,\qquad \Omega_{\mathrm{g}}=qB/m",mu0rhov
n1,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9142,Relation: = (1 + 5)/2. a Closedform Expression Is F_n =,Relation: = (1 + 5)/2. a Closedform Expression Is F_n = = (1 + 5)/2. A closedform expression is F_n =,n1
n2,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9142,Relation: = (1 + 5)/2. a Closedform Expression Is F_n =,Relation: = (1 + 5)/2. a Closedform Expression Is F_n = = (1 + 5)/2. A closedform expression is F_n =,n2
nPhi0,"field, phase, or golden-ratio quantity",context_rule,low,1,1,ID0445,Squid Flux Tomography Installation,"Squid Flux Tomography Installation \begin{adjustbox}{max width=\linewidth,center} $\displaystyle \mathbf{y}=(\phi_0,\ldots,\phi_{N-1},\theta_0,\ldots,\theta_{N-1}) $ \end{adjustbox}",nPhi0
nU_,neutrino-sector quantity,context_rule,low,1,1,ID1582,Integral Expression for U_constraint,"Integral Expression for U_constraint \[\nU_{\\text{constraint}} = \\int_V \\frac{B \\cdot B}{2\\mu_0}\\, dV + F_{\\text{mechanical}} \\cdot d\n\\]",nU_
nW_,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID1498,Relation: W_mech < 0.,Relation: W_mech < 0. \[\nW_{\\text{mech}} < 0.\n\\],nW_
n_ell,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID7476,Spin-Phase Dynamics: n_ell,Spin-Phase Dynamics: n_ell n_\ell,n_ell
n_i_i,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9690,"DAANSsphere as a Uniform Base Manifold: n_i_i=1^153600, n_i in S^2","DAANSsphere as a Uniform Base Manifold: n_i_i=1^153600, n_i in S^2 \{\mathbf{n}_i\}_{i=1}^{153{}600}, \quad \mathbf{n}_i \in S^2,",n_i_i
n_logical,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9884,Definition of n_physical/n_logical,Definition of n_physical/n_logical n_{\text{physical}}/n_{\text{logical}} = O((\log n_{\text{logical}})^{\pi}),n_logical
n_logical^1,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9888,Relation: O(n_logical^1/π · PolyLog(1/ε)),Relation: O(n_logical^1/π · PolyLog(1/ε)) O(n_{\text{logical}}^{1/\pi} \cdot \operatorname{PolyLog}(1/\epsilon)),n_logical^1
n_phin,"field, phase, or golden-ratio quantity",context_rule,low,1,1,ID9246,"Relation: nθ,nn_θ, n_phinθ,n","Relation: nθ,nn_θ, n_phinθ,n nθ,nn_\theta, n_\phinθ,n",n_phin
n_physical,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID9884,Definition of n_physical/n_logical,Definition of n_physical/n_logical n_{\text{physical}}/n_{\text{logical}} = O((\log n_{\text{logical}})^{\pi}),n_physical
n_vac,vacuum-sector quantity,context_rule,low,1,1,ID8516,VACUUM REFRACTIVE THRESHOLD Canonical Statutory Formula,VACUUM REFRACTIVE THRESHOLD Canonical Statutory Formula n_{vac} \approx \chi \implies v_{phase} \approx \frac{c}{1.185},n_vac
nabla2phi,"field, phase, or golden-ratio quantity",context_rule,low,1,1,ID0314,Extended Phase Space for Magneto-Acoustic–Kaluza–Klein Systems,Extended Phase Space for Magneto-Acoustic–Kaluza–Klein Systems Phi = n \cdot (h/2e) \approx n \cdot 2.07 \times 10^{-15} \text{ Wb} || Phi = n \cdot (h/2e) \approx n \cdot 2.07 \times 10^{-15} \text{ Wb},nabla2phi
nabla_a,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0619,Squid Flux Tomography,Squid Flux Tomography \Box_T\phi = g^{ab} \nabla^{T}_{a} \nabla^{T}_{b} \phi. || \nabla_a\nabla_b\phi \quad\longrightarrow\quad \nabla^T_a\nabla^T_b\phi. || \mathcal{A}_{\mathrm{TZP}}(\mathrm{id}_{0619})=\mathcal{A}_{\mathrm{adm}},nabla_a
nabla_b,needs definition: symbol occurs in corpus but no stable meaning was recovered,needs_definition,unknown,1,1,ID0619,Squid Flux Tomography,Squid Flux Tomography \Box_T\phi = g^{ab} \nabla^{T}_{a} \nabla^{T}_{b} \phi. || \nabla_a\nabla_b\phi \quad\longrightarrow\quad \nabla^T_a\nabla^T_b\phi. || \mathcal{A}_{\mathrm{TZP}}(\mathrm{id}_{0619})=\mathcal{A}_{\mathrm{adm}},nabla_b
